Entity_LogicalId,Entity_EU_ReferenceNumber,Address_City,Address_Street,Address_PoBox,Address_ZipCode,Address_Region,Address_Place,Address_AsAtListingTime,Address_ContactInfo,Address_CountryIso2Code,Address_CountryDescription,Address_Remark
13,EU.27.28,,,,,,,,,,,
13,EU.27.28,,,,,,,,,,,
13,EU.27.28,,,,,,,,,,,
13,EU.27.28,,,,,,,,,,,
13,EU.27.28,,,,,,,,,,,
20,EU.39.56,,,,,,,,,,,
20,EU.39.56,,,,,,,,,,,
20,EU.39.56,,,,,,,,,,,
20,EU.39.56,,,,,,,,,,,
20,EU.39.56,,,,,,,,,,,
23,EU.16.62,,,,,,,,,,,
23,EU.16.62,,,,,,,,,,,
23,EU.16.62,,,,,,,,,,,
23,EU.16.62,,,,,,,,,,,
23,EU.16.62,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
25,EU.11.43,,,,,,,,,,,
29,EU.22.9,,,,,,,,,,,
29,EU.22.9,,,,,,,,,,,
29,EU.22.9,,,,,,,,,,,
29,EU.22.9,,,,,,,,,,,
29,EU.22.9,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
33,EU.42.11,,,,,,,,,,,
39,EU.35.2,,,,,,,,,,,
39,EU.35.2,,,,,,,,,,,
39,EU.35.2,,,,,,,,,,,
39,EU.35.2,,,,,,,,,,,
46,EU.106.12,,,,,,,,,,,
46,EU.106.12,,,,,,,,,,,
46,EU.106.12,,,,,,,,,,,
46,EU.106.12,,,,,,,,,,,
46,EU.106.12,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
53,EU.19.54,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
54,EU.20.79,,,,,,,,,,,
58,EU.165.92,,,,,,,,,,,
58,EU.165.92,,,,,,,,,,,
58,EU.165.92,,,,,,,,,,,
58,EU.165.92,,,,,,,,,,,
58,EU.165.92,,,,,,,,,,,
60,EU.45.3,,,,,,,,,,,
60,EU.45.3,,,,,,,,,,,
60,EU.45.3,,,,,,,,,,,
60,EU.45.3,,,,,,,,,,,
60,EU.45.3,,,,,,,,,,,
60,EU.45.3,,,,,,,,,,,
63,EU.52.12,,,,,,,,,,,
63,EU.52.12,,,,,,,,,,,
63,EU.52.12,,,,,,,,,,,
63,EU.52.12,,,,,,,,,,,
65,EU.120.33,,,,,,,,,,,
65,EU.120.33,,,,,,,,,,,
65,EU.120.33,,,,,,,,,,,
65,EU.120.33,,,,,,,,,,,
65,EU.120.33,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
67,EU.146.66,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
69,EU.148.68,,,,,,,,,,,
71,EU.157.32,,,,,,,,,,,
