Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
13,EU.27.28,P,person,IQ,
20,EU.39.56,P,person,IQ,
23,EU.16.62,P,person,IQ,
25,EU.11.43,P,person,IQ,
29,EU.22.9,P,person,IQ,
33,EU.42.11,P,person,IQ,
39,EU.35.2,P,person,IQ,
46,EU.106.12,P,person,IQ,
53,EU.19.54,P,person,IQ,
54,EU.20.79,P,person,IQ,
58,EU.165.92,P,person,IQ,
60,EU.45.3,P,person,IQ,
63,EU.52.12,P,person,IQ,
65,EU.120.33,P,person,IQ,
67,EU.146.66,P,person,IQ,
69,EU.148.68,P,person,IQ,
71,EU.157.32,P,person,IQ,
76,EU.133.1,P,person,IQ,
79,EU.69.59,P,person,IQ,
81,EU.71.49,P,person,IQ,
83,EU.77.33,P,person,IQ,
87,EU.89.61,P,person,IQ,
89,EU.97.35,P,person,IQ,
98,EU.59.58,P,person,IQ,
99,EU.62.13,P,person,IQ,
101,EU.63.75,P,person,IQ,
103,EU.65.5,P,person,IQ,
130,EU.150.25,P,person,IQ,
133,EU.153.28,P,person,IQ,
136,EU.134.2,P,person,IQ,
139,EU.90.86,P,person,IQ,
143,EU.103.9,P,person,IQ,
146,EU.114.72,P,person,IQ,
147,EU.115.73,P,person,IQ,
153,EU.124.37,P,person,IQ,
154,EU.125.38,P,person,IQ,
156,EU.127.40,P,person,IQ,
157,EU.128.41,P,person,IQ,
175,EU.3567.71,P,person,SA,
176,EU.3568.36,P,person,SA,
189,EU.3577.72,P,person,LB,
505,EU.471.56,P,person,AF,
506,EU.3204.81,P,person,IQ,
507,EU.513.75,P,person,US,
508,EU.544.68,P,person,EG,
510,EU.420.36,P,person,MR,
513,EU.549.73,P,person,PK,
513,EU.549.73,P,person,AF,
515,EU.368.0,P,person,AF,
516,EU.472.57,P,person,AF,
517,EU.473.58,P,person,AF,
519,EU.379.63,P,person,TZ,
521,EU.502.12,P,person,AF,
522,EU.509.19,P,person,AF,
523,EU.538.10,P,person,AF,
524,EU.539.11,P,person,AF,
525,EU.417.78,P,person,AF,
526,EU.427.43,P,person,AF,
528,EU.514.76,P,person,YE,
529,EU.521.38,P,person,AF,
533,EU.439.10,P,person,YE,
534,EU.369.1,P,person,DZ,
534,EU.369.1,P,person,PS,
537,EU.3097.55,P,person,LY,
540,EU.298.88,P,person,AF,
542,EU.318.78,P,person,AF,
544,EU.314.74,P,person,AF,
545,EU.319.79,P,person,AF,
547,EU.334.4,P,person,AF,
548,EU.352.29,P,person,AF,
550,EU.315.75,P,person,SO,
551,EU.3090.9,P,person,EG,
552,EU.311.71,P,person,AF,
553,EU.312.72,P,person,AF,
554,EU.307.15,P,person,CN,
555,EU.322.37,P,person,AF,
556,EU.323.38,P,person,AF,
561,EU.332.2,P,person,AF,
580,EU.335.5,P,person,AF,
581,EU.350.27,P,person,AF,
582,EU.351.28,P,person,AF,
583,EU.296.86,P,person,AF,
585,EU.329.44,P,person,AF,
590,EU.355.32,P,person,AF,
591,EU.356.33,P,person,AF,
593,EU.294.84,P,person,AF,
594,EU.295.85,P,person,AF,
595,EU.336.6,P,person,AF,
596,EU.337.7,P,person,AF,
597,EU.359.36,P,person,AF,
599,EU.303.11,P,person,AF,
600,EU.304.12,P,person,AF,
601,EU.308.16,P,person,AF,
602,EU.321.36,P,person,AF,
603,EU.341.63,P,person,AF,
604,EU.3851.78,P,person,JO,
604,EU.3851.78,P,person,US,
607,EU.361.90,P,person,AF,
614,EU.301.9,P,person,AF,
616,EU.320.35,P,person,AF,
618,EU.339.9,P,person,AF,
619,EU.340.62,P,person,AF,
620,EU.358.35,P,person,AF,
623,EU.449.72,P,person,AF,
625,EU.364.93,P,person,AF,
626,EU.309.17,P,person,AF,
630,EU.344.66,P,person,AF,
631,EU.345.67,P,person,AF,
640,EU.365.94,P,person,PK,
641,EU.366.95,P,person,PK,
643,EU.327.42,P,person,AF,
644,EU.328.43,P,person,AF,
647,EU.754.35,P,person,AF,
648,EU.755.36,P,person,AF,
649,EU.768.4,P,person,AF,
650,EU.800.13,P,person,AF,
651,EU.801.14,P,person,AF,
652,EU.807.20,P,person,AF,
653,EU.839.14,P,person,AF,
654,EU.666.1,P,person,AF,
656,EU.695.89,P,person,AF,
659,EU.745.71,P,person,AF,
661,EU.736.10,P,person,AF,
669,EU.793.88,P,person,AF,
685,EU.769.5,P,person,AF,
690,EU.702.14,P,person,AF,
693,EU.705.17,P,person,AF,
696,EU.697.91,P,person,AF,
698,EU.699.93,P,person,AF,
699,EU.746.72,P,person,AF,
702,EU.756.37,P,person,AF,
703,EU.792.87,P,person,AF,
704,EU.833.8,P,person,AF,
706,EU.701.13,P,person,AF,
709,EU.775.63,P,person,AF,
711,EU.813.78,P,person,AF,
716,EU.675.62,P,person,AF,
717,EU.713.77,P,person,AF,
719,EU.715.79,P,person,AF,
