ent_num,alt_num,alt_name
36,12.0,AERO-CARIBBEAN
173,57.0,AVIA IMPORT
306,220.0,NATIONAL BANK OF CUBA
540,471.0,COIBA
552,475.0,CRYMSA
555,477.0,COPROVA
555,478.0,COPROVA SARL
559,481.0,CIMEX
651,556.0,DELVEST HOLDING COMPANY
735,583.0,CUBANA AIRLINES
751,600.0,CARIBBEAN EXPORT ENTERPRISE
758,613.0,CUBATUR
815,641.0,GALAX INC.
906,46100.0,"HAVANA INTERNATIONAL BANK, LTD"
1287,888.0,CUFLET
1287,889.0,CUBAN FREIGHT ENTERPRISE
2109,1409.0,"TROVER, S.A."
2110,1410.0,TROPICANA TOURS GMBH
2674,1795.0,"ZAYDAN, Muhammad"
2676,4760.0,"AL-ZAWAHIRI, Ayman"
2676,4761.0,"SALIM, Ahmad Fuad"
2676,4787.0,"AL-ZAWAHIRI, Aiman Muhammad Rabi"
2677,1796.0,"ZUMAR, Abbud"
2677,49609.0,"AL-ZUMAR, Abbud"
2677,49610.0,"EL-ZOMOR, Aboud Abdul Latif Hasan"
2677,49611.0,"AL-ZUMUR, Abood Abdul Latif Hassan"
2677,49612.0,"AL-ZAMUR, Abboud Abdul Latif Hassan"
2681,1798.0,"HAWATMEH, Nayif"
2681,1799.0,"HAWATMAH, Nayif"
2681,1800.0,"KHALID, Abu"
2683,1823.0,"JIBRIL, Ahmad"
2686,22740.0,"NASRALLAH, Hasan Abd-al-Karim"
3749,3331.0,GENERAL NICKEL SA
3754,3341.0,"MARZUK, Musa Abu"
3754,3342.0,"ABU-MARZUQ, Dr. Musa"
3754,3343.0,"MARZOOK, Mousa Mohamed Abou"
3754,3344.0,"ABU-MARZUQ, Sa'id"
3754,5821.0,"MARZOUK, Musa Abu"
4257,3414.0,"ABDULLAH, Dr. Ramadan"
4257,3415.0,"SHALLAH, Dr. Ramadan Abdullah"
4257,3416.0,"SHALLAH, Ramadan Abdalla Mohamed"
4632,3553.0,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN
4632,12046.0,BANK MARKAZI IRAN
4632,12103.0,CENTRAL BANK OF IRAN
4633,12085.0,HOUSING BANK - OF IRAN
4635,3555.0,WORKERS' WELFARE BANK - OF IRAN
4635,12051.0,BANK REFAH
4639,3557.0,AGRICULTURAL BANK OF IRAN
4639,12144.0,BANK KESHAVARZI
4642,12047.0,IRAN OVERSEAS INVESTMENT BANK PLC
4642,12048.0,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED
4642,12049.0,IRAN OVERSEAS INVESTMENT BANK LIMITED
4688,3869.0,AL HARAKAT AL ISLAMIYYA
4690,3883.0,GROUPEMENT ISLAMIQUE ARME
4690,3885.0,AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH
4691,3886.0,AUM SUPREME TRUTH
4691,3887.0,A.I.C. SOGO KENKYUSHO
4691,3888.0,A.I.C. COMPREHENSIVE RESEARCH INSTITUTE
4691,4788.0,ALEPH
4693,3893.0,BASQUE FATHERLAND AND LIBERTY
4693,5397.0,BATASUNA
4693,5398.0,EUSKAL HERRITARROK
4693,5399.0,HERRI BATASUNA
4693,5913.0,ASKATASUNA
4693,5914.0,EKIN
4693,5916.0,XAKI
4693,5917.0,JARRAI-HAIKA-SEGI
4693,5960.0,EPANASTATIKI PIRINES
4693,5961.0,POPULAR REVOLUTIONARY STRUGGLE
4694,3895.0,ISLAMIC GROUP
4694,3897.0,AL-GAMA'AT
4694,3898.0,ISLAMIC GAMA'AT
4694,3899.0,EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA
4695,3900.0,ISLAMIC RESISTANCE MOVEMENT
4695,3901.0,HARAKAT AL-MUQAWAMA AL-ISLAMIYA
4695,3902.0,STUDENTS OF AYYASH
4695,3903.0,STUDENTS OF THE ENGINEER
4695,3904.0,YAHYA AYYASH UNITS
4695,3905.0,IZZ AL-DIN AL-QASSIM BRIGADES
